Identificador_an칩nimo,Promedio_semestre_anterior,A_la_hora_de_contestar_el_test_presentabas_fatiga,A_la_hora_de_contestar_el_test_presentabas_problemas_de_salud_temporales_como_dolores_de_cabeza_o_enfermedades_pueden_impactar_el_desempe침o_en_el_test,Consideras_que_el_test_no_est치_bien_dise침ado_para_medir_lo_que_pretende_evaluar_
861fb5d4f3680debd8c66d5636c457048ab2c15be09cd1777a25a314934c406b,9.03,si,no,si
789eaeee7b30dd2babc463eb6712039f1e516b26461f1936871fe862408115d2,8.43,no,.>no,si
ef1c0d040a48e9b8798f9bcc38b98715005dcdcd722d9f1d6abe8b2192330c59,8.43,no,.>no,no
7256e196ae8eeacc0b1b56093961ec4764ee4b17e4acf992cec012221cd42d4f,9.7,no,.>no,si
fbfa8417956a16c3b5ada8091d3971999b4f2153ac93fe61ae0e74d88868ad8e,9.61,no,.>si,si
fd6b1d4b57ab0485ee61532cae6c7b299b0f137473d396fa87a7e850ca720c0c,9.7,no,.>no,no
b'gAAAAABmv707YUpEUZgF-xOV5a9oLwNzUWdWCvk--vk_IGrErJiD2-efyP00e0O92rnm655pgibyI1O0j-M5AcBHFAJregBcHw==',9.3,si,.>no,si
e60b928d5a741c4575da8087bf363b0f3d789af9bdf15f44535aecdbd6ba211b,9.6,si,.>no,no
03c32f442ae048caa620e5288ba9537538870f638242b1e915e5065c8c7a0156,9.5,no,.>no,no
a879e26afea7cb2010c73fe53b565d3cd36005d960322dbafec4f3375d8cb35f,8.27,si,.>no,si
544d3e56c527be9871a05bd4cd4ec3de910f2c7eae479a67d6c0f633ed89d5e0,9.23,no,.>no,si
24d2c1419ae69ca7853f20972bbf575f2cae923521696dc44f1e4f20e7a89f61,9.39,no,.>no,si
a3124e8ab2ac169d071d4cbaafde6022133d24706518e7ab477388311f76ee95,9.7,no,.>si,si
2615d1f812c20e2de5d0a0931bb3eada36fe2aed1d2e5f8e8985dace95919867,9,si,.>si,si
c752c3bfdfae3c5ae4c960987fa3c807ca0d16ef2aafd024b57f8e8e044f5318,9.6,si,.>no,no
af573b0e3004f216e3082a08c94fab3b7b19ec688785fa0180164b0733ede09e,8,no,.>no,no
d7fc604bea01209243967e336e94ece820644a3c14b463794d2b2923cc0d7dac,9.5,si,.>no,no
5d555bbbd65072576fbc004249effcf9f3e6b5a1c9e5997f7494ee481d3477d2,9.4,si,.>no,no
b90f7cd4a3649f6ebc8dd96740fcf95a5c9921fb5a67159bfbc60ee7e5b5c7d8,9,si,.>no,no
107609b71dd977373ce271656a719369949ba5073e87a7a1d2618b6e76e30ded,9.34,si,.>si,si
0435ce4f949b738273cddc7456d8e057563d483b0791eac5ff4f768dc8b63cb1,9.11,no,.>no,si
f1ea336e4b45c2449e606f575fbfee295a23a5a06da67f248feb71b4988398c8,9.2,no,.>no,no
a9bdb3f1198d1decc2dc77ddfbe65c94ee38d7117d5a1a00a142a3ded81c3252,9.03,no,.>no,no
UDREjzZ9avsxSNSNcuyoWZewjcfF9InRdx+lFqHIFukWYqZXx8hP1R9ZKmLd0/2S,9.4,no,.>no,no
KpJElvotCUeZhP9h3Xbe2i8mfEs6e/AG4fMM6OcOPXk,9.07,no,.>no,no
3245f2468886c8e62d28ca80f3a3ac17c02ec24c68825930de3c04e7106b04f9,8.8,no,.>no,no
9c012b540deaa0a24ef2ac84df065fac35ad1478de61ea01875026b3c2360a9d,8.9,no,.>no,si
7fda4f60a1f5358f6ca2c80d7514fb39b69e0df5e3e7df8f88012750ba45b0a0,9.19,no,.>no,si
c940373da62b317b4ac617ba6ae64bf89af216bdd4dbb5364ec5f97f19c75d02,9.49,no,.>no,no
jSBnKjrkNmcMcauMVLO7VvFqZB1ar4Z4AgFz7fk6ny2BFf9lmOymHRsN5DFzt+k5y/y3Q7jQj9RcW6j2SVP+0g,9.2,no,.>no,no
1a1578e303bce6ff7cf8ce0b7df528f7783d0fb893bb7d3ab7ea3206efb10a7b,9.14,si,.>no,no
29b0841eab322029b05cca1562dcc7227cb8abb9fab60e4b422f890107c4e0b2,8.7,no,.>no,si
3kljnz2/ymMj74H4tFBO/zz/IEe3RtsZb8Yh2ttekMUB4pQNAwW8z3qr9IuFSP7s4B0jacHEeFeJxpCX6TeLdkx1x1Arq82Oq2WtNaG/OEERpixY1sb7XJYZJHeAPjb4PagFXhQBXZPs0LnhBsQV9JD+As0ZKJLXcs5PZp6KN1g,9,no,.>si,no
44319f4623fc8e8b536c82eb0e9ac0ea134f32034ab1c0540ecb8375a1c73d0f,9.6,no,.>no,no
20171562,7.8,no,.>no,si
